Title,Tür,Yönetmen,Kanal,Başrol
Sır Dosyası,Polisiye,,Star TV,Taner Birsel -  - Mehmet Günsür -  - Ayça Bingöl -  - Zafer Ergin
Sen de Gitme,Dram -  - Medikal,Türkan Derya,TRT 1,Sinan Albayrak -  - Sezin Akbaşoğulları -  - Alican Yücesoy -  - Didem İnselel -  - Miraç Eronat -  - Batuhan Karacakaya
Kaybolan Yıllar,Dram -  - Duygusal -  - Polisiye -  - Aşk,Zeynep Günay -  - Gülçin Gülbahçe,Star TV -  (2006-2007),Yeşim Büber -  - Saruhan Hünel -  - Burak Hakkı
Kızlar Sınıfı,Komedi -  - Gençlik,Orhan Elmas,Kanal D,İlyas Salman -  - Ayşen Gruda -  - Gökhan Güney -  - Ergun Köknar -  - İlhan Daner -  - Nilüfer Öz
Hanım Köylü,Aile -  - Romantik komedi,Mustafa Şevki Doğan,Star TV -  ( - HD - ),Yusuf Çim -  - Gülsim Ali -  - Mehmet Özgür -  - Toygan Avanoğlu
Küçük Sırlar,Gençlik -  - Drama,Cevriye Demir,Kanal D -  (14 Temmuz 2010-20 Kasım 2010)  -  - Star TV -  (29 Kasım 2010-2 Eylül 2011),Sinem Kobal -  - Burak Özçivit -  - Merve Boluğur -  - Birkan Sokullu -  - İpek Karapınar -  - Kadir Doğulu
Balkan Ninnisi,Aile -  - Romantik,"Doğan Ümit Karaca -  - (1-4) -  - Volkan Kapkın -  (1-4) -  - Serdar Akar -  (5-10, 21) -  - Selahattin Sancaklı -  - (6-25) -  - Evrim Yöney -  (11-25)",TRT 1,Erdal Özyağcılar -  - Özlem Türkad -  - Emre Bey -  - Merih Öztürk -  - Hakan Boyav -  - Suzan Akbelge -  - Can Kolukısa -  - Erman Saban -  - Bedia Begovska
Gülizar,Dram,Çağan Irmak,Kanal D,Farah Zeynep Abdullah -  - Berk Cankat -  - Ebru Cündübeyoğlu -  - Şerif Sezer
Sıdıka,Komedi,Mahinur Ergun -  - Fatmanur Sevinç,Show TV -  (1997-2003),Hasibe Eren -  - Füsun Demirel -  - Ali Erkazan -  - Hakan Tanfer
Parmaklıklar Ardında,Suç -  - Dram,Hakan Gürtop -  - (1. sezon)  -  - Nisan Akman -  -  (2 ve 3. sezon),atv,Selda Alkor -  - Serra Yılmaz -  - Yelda Reynaud -  - Özlem Düvencioğlu -  - Zeynep Eronat -  - Sinan Albayrak -  - Cengiz Bozkurt -  - Başak Daşman -  - Pınar Dikici -  - Özgül Kavruk -  - Zehra Alptürk -  - Ogün Kaptanoğlu -  - İsmail Düvenci -  - Onuryay Evrentan -  - Müfide İnselel -  - Zeynep Kızıltan -  - Nurhan Özenen -  - Meltem Pamirtan -  - Iraz Yöntem -  - Pınar Ünsal -  - Beste Bereket -  - Neriman Uğur -  - Dilşad Bozyiğit -  - Mine Çayıroğlu -  - Fikret Kuşkan -  - Rüçhan Çalışkur -  - Zeynep Gülmez -  - Tardu Flordun
