Title,Yapımşirketi,Yönetmen,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Sır Dosyası,Sinerji,Taylan Biraderler,1,1999 - 1999,Polisiye,Star TV,Taner Birsel -  - Mehmet Günsür -  - Ayça Bingöl -  - Zafer Ergin
Sen de Gitme,NTC Medya,Türkan Derya,2,17 Şubat 2011 - 7 Haziran 2012,Dram -  - Medikal,TRT 1,Sinan Albayrak -  - Sezin Akbaşoğulları -  - Alican Yücesoy -  - Didem İnselel -  - Miraç Eronat -  - Batuhan Karacakaya
Kaybolan Yıllar,Base Productions,Zeynep Günay -  - Gülçin Gülbahçe,2,15 Nisan 2006 - 21 Haziran 2007,Dram -  - Duygusal -  - Polisiye -  - Aşk,Star TV -  (2006-2007),Yeşim Büber -  - Saruhan Hünel -  - Burak Hakkı
Kızlar Sınıfı,Burç Film,Orhan Elmas,1,18 Mart 1994 - 10 Haziran 1994,Komedi -  - Gençlik,Kanal D,İlyas Salman -  - Ayşen Gruda -  - Gökhan Güney -  - Ergun Köknar -  - İlhan Daner -  - Nilüfer Öz
Hanım Köylü,Gold Film,Mustafa Şevki Doğan,1,23 Nisan 2016 - 1 Ağustos 2016,Aile -  - Romantik komedi,Star TV -  ( - HD - ),Yusuf Çim -  - Gülsim Ali -  - Mehmet Özgür -  - Toygan Avanoğlu
Küçük Sırlar,Tims Productions,Cevriye Demir,2,14 Temmuz 2010 - 2 Eylül 2011,Gençlik -  - Drama,Kanal D -  (14 Temmuz 2010-20 Kasım 2010)  -  - Star TV -  (29 Kasım 2010-2 Eylül 2011),Sinem Kobal -  - Burak Özçivit -  - Merve Boluğur -  - Birkan Sokullu -  - İpek Karapınar -  - Kadir Doğulu
Balkan Ninnisi,Nebula Film Yapım,"Doğan Ümit Karaca -  - (1-4) -  - Volkan Kapkın -  (1-4) -  - Serdar Akar -  (5-10, 21) -  - Selahattin Sancaklı -  - (6-25) -  - Evrim Yöney -  (11-25)",1,21 Haziran 2022 - 5 Ocak 2023,Aile -  - Romantik,TRT 1,Erdal Özyağcılar -  - Özlem Türkad -  - Emre Bey -  - Merih Öztürk -  - Hakan Boyav -  - Suzan Akbelge -  - Can Kolukısa -  - Erman Saban -  - Bedia Begovska
Gülizar,O3 Medya,Çağan Irmak,1,20 Ocak 2018 - 24 Mart 2018,Dram,Kanal D,Farah Zeynep Abdullah -  - Berk Cankat -  - Ebru Cündübeyoğlu -  - Şerif Sezer
Sıdıka,Delta Film Limon Yapım,Mahinur Ergun -  - Fatmanur Sevinç,3,24 Şubat 1997 - 18 Kasım 2003,Komedi,Show TV -  (1997-2003),Hasibe Eren -  - Füsun Demirel -  - Ali Erkazan -  - Hakan Tanfer
Parmaklıklar Ardında,Play Prodüksiyon,Hakan Gürtop -  - (1. sezon)  -  - Nisan Akman -  -  (2 ve 3. sezon),3,13 Aralık 2007 - 24 Haziran 2010,Suç -  - Dram,atv,Selda Alkor -  - Serra Yılmaz -  - Yelda Reynaud -  - Özlem Düvencioğlu -  - Zeynep Eronat -  - Sinan Albayrak -  - Cengiz Bozkurt -  - Başak Daşman -  - Pınar Dikici -  - Özgül Kavruk -  - Zehra Alptürk -  - Ogün Kaptanoğlu -  - İsmail Düvenci -  - Onuryay Evrentan -  - Müfide İnselel -  - Zeynep Kızıltan -  - Nurhan Özenen -  - Meltem Pamirtan -  - Iraz Yöntem -  - Pınar Ünsal -  - Beste Bereket -  - Neriman Uğur -  - Dilşad Bozyiğit -  - Mine Çayıroğlu -  - Fikret Kuşkan -  - Rüçhan Çalışkur -  - Zeynep Gülmez -  - Tardu Flordun
Gülümse Kaderine,Avşar Film,Aytaç Çiçek,1,27 Nisan 2022 - 25 Mayıs 2022,Dram,FOX,Bahar Şahin -  - Sude Zülal Güler
En Son Babalar Duyar,Mint Prodüksiyon,Sibel Kocataş -  - Funda Karagöz,5,21 Eylül 2002  ( 2002-09-21 ) [5]  -  30 Aralık 2006  ( 2006-12-30 ),Durum komedisi -  - Aile -  - Dram,"TRT 1 -  (2002-2003,  1. sezon)  -  - Star TV -  (2003-2006,  2-5. sezon)",Ayşegül Atik -  - Ali Erkazan -  - Levent Ülgen -  - Hatice Aslan
Adı Efsane,D Productions,Devrim Yalçın,1,28 Ocak 2017 - 29 Ağustos 2017,Aşk -  - Dram -  - Gençlik -  - Spor,Kanal D,Erdal Beşikçioğlu -  - Rojda Demirer -  - Gökçe Bahadır
Karanlıkta Koşanlar,TRT,Uğur Yücel,1,2001 - 2001,Macera -  - Polisiye,TRT 1,Uğur Yücel -  - Haluk Bilginer -  - Altan Karındaş -  - Köksal Engür -  - Devin Özgür Çınar -  - Parkan Özturan -  - Levend Yılmaz
Adı Sevgi,Koliba Film,Sadullah Celen -  - Celil Murat Sarı,1,13 Mart 2022 - 22 Mayıs 2022,Dram -  - Aksiyon -  - Gerilim,atv,Yunus Emre Yıldırımer -  - Gizem Güneş
Aşk ve Mavi,NTC Medya,Hakan Arslan,3,4 Kasım 2016 - 16 Kasım 2018,Dram,atv,Emrah -  (1-74) -  - Burcu Kıratlı -  - Keremcem -  - Cüneyt Mete -  - Kenan Bal -  - Ayşegül Ünsal -  - Işıl Yücesoy -  (1-63)
Ekmek Teknesi,Sinegraf  (2002-2004) Pana Film  (2004-2005),Metin Günay -  - Osman Sınav -  - Gürsel Ateş -  - Sadullah Şentürk,3,16 Kasım 2002  ( 2002-11-16 ) [1] [2]  -  13 Haziran 2005  ( 2005-06-13 ) [3] [4],Komedi -  - Dram,atv -  (2002-2004) -  - Show TV -  (2004-2005),Savaş Dinçel -  - Sermin Hürmeriç -  - Hasan Kaçan -  - Kadir Çöpdemir -  - Ahmet Yenilmez
Bir Varmış Bir Yokmuş,BKM,Bülent İşbilen,1,7 Ocak 2008 - 28 Ocak 2008,Dram,Star TV,Ahmet Mekin -  - Onur Ünsal -  - Şahika Koldemir -  - Servet Pandur -  - Serdar Yeğin -  - Türkan Kılıç -  - Erkan Bektaş -  - Turgay Tanülkü -  - Esra Kızıldoğan -  - Burak Davutoğlu -  - Candan Ersoy -  - Erk Bilgiç -  - Ceren Olcayto -  - Selen Öztürk -  - Tuba Erdem -  - Ozan Bilen -  - Sıla Çetindağ -  - Şebnem Gürsoy -  - Bülent İşbilen
Yasak Elma,Medyapım,Neslihan Yeşilyurt -  - (1-74) -  - Murat Öztürk -  - (75-110) -  - Ece Erdek Koçoğlu -  (111-177),6,19 Mart 2018 - 5 Haziran 2023,Dram -  - Komedi,FOX,Şevval Sam -  - Eda Ece -  - Talat Bulut -  - Sevda Erginci -  - Onur Tuna -  - Nesrin Cavadzade -  - Gökhan Alkan -  - Berk Oktay -  - Biran Damla Yılmaz -  - Murat Aygen -  - Barış Kılıç -  - Tuvana Türkay -  - Erdal Özyağcılar -  - Şafak Pekdemir
Sevmek Zamanı,Süreç Film,Yıldız Hülya Bilban,1,20 Haziran 2022 - 18 Temmuz 2022,Romantik -  - Dram,atv,İlhan Şen -  - Deniz Işın
Yüz Yüze,Tims&B,Osman Taşcı,1,19 Ekim 2017 - 26 Ekim 2017,Aksiyon -  - Dram,Show TV -  ( - HDTV - ),Birkan Sokullu -  - Sinem Kobal -  - Taner Ölmez
İkimizin Sırrı,ÜS Yapım,Cem Akyoldaş,1,8 Ağustos 2021 - 10 Ekim 2021,Dram -  - Aşk,atv,Leyla Feray -  - Aras Aydın
EGO,Pastel Film,Doğa Can Anafarta -  (1-3) -  - Şenol Sönmez -  (4-13),1,5 Şubat 2023 - 21 Mayıs 2023,Dram,FOX,Alperen Duymaz -  - Melisa Aslı Pamuk -  - Ahmet Kayakesen -  - Rüya Helin Demirbulut
Muhteşem Yüzyıl,Tims Productions,Taylan Biraderler -  (1-103) -  - Yağız Alp Akaydın -  (104-139) -  - Mert Baykal -  (104-139),4,5 Ocak 2011  ( 2011-01-05 )  -  11 Haziran 2014  ( 2014-06-11 ),Tarihî -  - Kurgu,Show TV -  ( - HD - ) (2011) -  - Star TV -  ( - HD - ) (2012-2014),Halit Ergenç -  - Meryem Uzerli -  - Vahide Perçin -  - Nebahat Çehre -  - Okan Yalabık -  - Nur Fettahoğlu -  - Selma Ergeç
Unutma Beni,Focus Film,Gülşen Erişdi -  - Mihriban Şahin,8,19 Mayıs 2008 [1]  - 27 Mayıs 2016,Aile -  - Dram,FOX -  ( - HD - ),Osman Karakoç -  - Didem Özkavukçu
Lise Devriyesi,ARC Film,Yahya Samancı,1,26 Mart 2017 - 18 Haziran 2017,Gençlik -  - Polisiye -  - Komedi,TRT 1,Ozan Dolunay -  - Bahar Şahin -  - İsmail Ege Şaşmaz -  - Yusuf Gökhan Atalay -  - Asena Tuğal -  - Doğan Akdoğan -  - Mehmet Çevik
Tatlı Betüş,Delta Film,Atıf Yılmaz,1,3 Nisan 1993 - 29 Mayıs 1993,Komedi -  - Drama,Show TV,Türkân Şoray -  - Alp Buğdaycı -  - Tarık Tarcan -  - Faruk Peker -  - Aydemir Akbaş -  - Altan Akışık -  - Bülent Kayabaş -  - Taner Barlas -  - Cem Davran
Artist Palas,Protel,Mahinur Ergun,1,20 Mart 1994 - 15 Temmuz 1994,Dram -  - Romantik -  - Komedi,Kanal D,Zuhal Olcay -  - Lale Mansur -  - Burçin Orhon -  - Füsun Demirel -  - Hakan Tanfer
Avrupa Yakası,Plato Film,Hakan Algül (1-41)  -  - Jale Atabey -  (42-190),6,11 Şubat 2004  ( 2004-02-11 )  -  24 Haziran 2009  ( 2009-06-24 ) [4],Durum komedisi,atv -  (2004-2009),Gazanfer Özcan -  - Hümeyra -  - Müşfik Kenter -  - Gönül Ülkü -  - Ata Demirer -  - Gülse Birsel -  - Engin Günaydın -  - Levent Üzümcü -  - Şenay Gürler -  - Bülent Polat -  - Veysel Diker -  - Yıldırım Öcek -  - Yavuz Seçkin -  - Hale Caneroğlu -  - Evrim Akın -  - Vural Çelik -  - Hasibe Eren -  - Tolga Çevik -  - Sarp Apak -  - Peker Açıkalın -  - Binnur Kaya -  - Hakan Yılmaz -  - Ömür Arpacı -  - Rutkay Aziz -  - Suna Keskin -  -  ve  - diğerleri
Hizmetçiler,Fabrika Yapım,Metin Balekoğlu,1,7 Mart 2020 - 21 Mart 2020,Drama -  - Entrika,Kanal D,Deniz Baysal Yurtcu -  - Algı Eke -  - Selen Domaç -  - Aleyna Solaker
Yürek Çıkmazı,Gold Film,Serdar Gözelekli -  - (1-15) -  - Bahadır İnce -  - (16-28),1,1 Kasım 2022 - 13 Haziran 2023,Dram,TRT 1,Ayça Bingöl -  - Alp Navruz -  - İrem Helvacıoğlu -  - Mesut Akusta
Aşk ve Günah,D Productions,Atilla Cengiz -  - Irmak Çengel,1,31 Ağustos 2015 - 19 Şubat 2016,Aşk -  - Drama,Kanal D,İlknur Şaşmazer -  - Türkan Kılıç -  - Seren Deniz Yalçın -  - Tekin Temel
Gece Gündüz,Altıoklar Film,Metin Balekoğlu -  - Sarp Levendoğlu,1,4 Temmuz 2008 - 22 Mart 2009,Komedi -  - Polisiye -  - Suç -  - Dram,Kanal D,Damla Sönmez -  - Sarp Levendoğlu -  - Settar Tanrıöğen
