Title,Yönetmen,Yönetici  yapımcı,Sunucu,Seslendiren(ler),İlişkili programlar,Anlatıcı,Yaratıcı  yönetmen(ler),Besteci,Mekân,Yapım  şirketi,Geliştiren,Açılış müziği,Sezon sayısı,Kamera,Yayın tarihi,Dili,Kurgucu,Yapımcı,Gösterim süresi,Tema müziği bestecisi,Öykü,Sonra gelen,Proje tasarımcısı,Öykü kurgusu,Dağıtımcı firma,Bölüm sayısı,Resim formatı,Platform,Tür,Format,Yazar,Ülke,Ses formatı,Durumu,Kanal,Önce gelen,Uyarlama,Senarist,Bitiş müziği,Görüntü yönetmeni,Başrol
Sır Dosyası,,,,,,,,,,,,,1,,1999 - 1999,Türkçe,,,,,,,,,,5,576i  ( 16:9 SDTV ),,Polisiye,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV,,,,,,Taner Birsel Mehmet Günsür Ayça Bingöl Zafer Ergin
Sen de Gitme,Türkan Derya,,,,,,,Dersaadetli,İstanbul,NTC Medya,,Sen de Gitme Jenerik (Açılış),2,,17 Şubat 2011 - 7 Haziran 2012,Türkçe,,Mehmet Yiğit Alp,120 dakika,,,,,,,54 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Medikal,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1,,,Nuran Evren Şit,Sen de Gitme Jenerik (Bitiş),Burak Demirdelen,Sinan Albayrak Sezin Akbaşoğulları Alican Yücesoy Didem İnselel Miraç Eronat Batuhan Karacakaya
Kaybolan Yıllar,Zeynep Günay Gülçin Gülbahçe,,,,,,,Bolahenk,,Base Productions,,Kaybolan Yıllar-Jenerik,2,,15 Nisan 2006 - 21 Haziran 2007,Türkçe,,Sergin Akyaz,60-70 dakika,,Sergin Akyaz Seçil Akyaz Çolak,,,,,49,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Duygusal Polisiye Aşk,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV  (2006-2007),,,Sergin Akyaz Seçil Akyaz Çolak Makbule Kosif Zehra Güleray,Karanlık Gece,Ercan Durmuş,Yeşim Büber Saruhan Hünel Burak Hakkı
Kızlar Sınıfı,Orhan Elmas,,,,,,,,İstanbul İzmir,Burç Film,,Kızlar Sınıfı Jenerik,1,,18 Mart 1994 - 10 Haziran 1994,Türkçe,,Oğuz Can Turan,40 dakika,Osman Gülcüoğlu Ercan Akdağ,,,,,,13,480i  ( SDTV ),,Komedi Gençlik,Televizyon dizisi,,Türkiye,,Sona erdi,Kanal D,,,Sennur Sezer Aydan Özyalçıner,,,İlyas Salman Ayşen Gruda Gökhan Güney Ergun Köknar İlhan Daner Nilüfer Öz
Hanım Köylü,Mustafa Şevki Doğan,,,,,,,,"Bayırköy ,  Muğla [1] İstanbul",Gold Film,,,1,,23 Nisan 2016 - 1 Ağustos 2016,Türkçe,,Faruk Turgut,120 dakika,,,,,,,13 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aile Romantik komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV  ( HD ),,,Baykut Badem Filiz Ekinci,,Berkan Öztrak,Yusuf Çim Gülsim Ali Mehmet Özgür Toygan Avanoğlu
Küçük Sırlar,Cevriye Demir,,,,,,,,"Etiler ,  Bebek ,  Beyoğlu ,  Levent ,  Ortaköy ,  İstanbul",Tims Productions,,Teoman  &  Atiye Deniz  - Kal,2,,14 Temmuz 2010 - 2 Eylül 2011,Türkçe,,Timur Savcı,90 dakika (yaklaşık),,,,,,,55,480i 720p 1080i  ( Star TV HD ),,Gençlik Drama,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D  (14 Temmuz 2010-20 Kasım 2010)  Star TV  (29 Kasım 2010-2 Eylül 2011),,,Nukret Bıçakçı Aylin Alıveren,,,Sinem Kobal Burak Özçivit Merve Boluğur Birkan Sokullu İpek Karapınar Kadir Doğulu
Balkan Ninnisi,"Doğan Ümit Karaca (1-4) Volkan Kapkın  (1-4) Serdar Akar  (5-10, 21) Selahattin Sancaklı (6-25) Evrim Yöney  (11-25)",,,,,,,,"Üsküp , Kuzey Makedonya",,,,1,,21 Haziran 2022 - 5 Ocak 2023,Türkçe,,Yalçın Arı Uğur Uzunok,,,,,,,,25,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aile Romantik,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1,,,Uğur Uzunok Nurullah Sevimli Abdülhamit Işık Esma Koç Baki Türk İdris Meydi Ozan Ayaz Alev Toprakoğlu Hamza Akyıldız,,,Erdal Özyağcılar Özlem Türkad Emre Bey Merih Öztürk Hakan Boyav Suzan Akbelge Can Kolukısa Erman Saban Bedia Begovska
Gülizar,Çağan Irmak,,,,,,,,İzmir,O3 Medya,,,1,,20 Ocak 2018 - 24 Mart 2018,Türkçe,,Onur Güvenatam,120 dakika,,,,,,,10,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Mahinur Ergun,,,Farah Zeynep Abdullah Berk Cankat Ebru Cündübeyoğlu Şerif Sezer
Sıdıka,Mahinur Ergun Fatmanur Sevinç,,,,,,,,,Delta Film Limon Yapım,,,3,,24 Şubat 1997 - 18 Kasım 2003,Türkçe,Cem Hamamcı,Atıf Yılmaz Sadık Deveci Metin Erarabacı Hayri Aslan,,Atilla Atalay,,,,,,98,4:3,,Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Show TV  (1997-2003),,,Atilla Atalay,,Erdal Kahraman,Hasibe Eren Füsun Demirel Ali Erkazan Hakan Tanfer
Parmaklıklar Ardında,Hakan Gürtop (1. sezon)  Nisan Akman  (2 ve 3. sezon),,,,Hinter Gittern - Der Frauenknast,Serra Yılmaz (1  ve 2. sezon),,,Tarihî Sinop Cezaevi [1],,,Aldırma Gönül,3,,13 Aralık 2007 - 24 Haziran 2010,Türkçe,,Ayşe Durukan Uğur Başaran,90 dakika,Kerem Güney,,,,,,106 ( bölümleri listesi ),4:3,,Suç Dram,Televizyon dizisi,Feride Çiçekoğlu Şebnem Çıtak (2. sezon),Türkiye,Stereo,Sona erdi,atv,,,,,,Selda Alkor Serra Yılmaz Yelda Reynaud Özlem Düvencioğlu Zeynep Eronat Sinan Albayrak Cengiz Bozkurt Başak Daşman Pınar Dikici Özgül Kavruk Zehra Alptürk Ogün Kaptanoğlu İsmail Düvenci Onuryay Evrentan Müfide İnselel Zeynep Kızıltan Nurhan Özenen Meltem Pamirtan Iraz Yöntem Pınar Ünsal Beste Bereket Neriman Uğur Dilşad Bozyiğit Mine Çayıroğlu Fikret Kuşkan Rüçhan Çalışkur Zeynep Gülmez Tardu Flordun
Gülümse Kaderine,Aytaç Çiçek,,,,,,,Günay Uysal,İstanbul Bursa,Avşar Film,,,1,,27 Nisan 2022 - 25 Mayıs 2022,Türkçe,,Şükrü Avşar,140 dakika,,,,,,,5,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX,,,Burcu Över,,,Bahar Şahin Sude Zülal Güler
En Son Babalar Duyar,Sibel Kocataş Funda Karagöz,MinT Motion Pictures,,,,,,,,,,,5,,21 Eylül 2002  ( 2002-09-21 ) [5]  -  30 Aralık 2006  ( 2006-12-30 ),Türkçe,,Birol Güven,,,,,,,,200    ( İlk sezon  TRT 1 'de yayımlandı  . [1] [2] Star TV 'de yayımlanmaya başlayınca bölüm numarası sıfırlanmıştır. 2-5 sezonlar  Star TV 'de yayımlandı .) [3] [4]  ( bölümleri listesi ),480p Çerçeve oranı,,Durum komedisi Aile Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,"TRT 1  (2002-2003,  1. sezon)  Star TV  (2003-2006,  2-5. sezon)",,,Necmi Yapıcı Murat Aras Metin Açıkgöz Birol Güven Kenan Kuzan,,Mustafa Nuri Eser,Ayşegül Atik Ali Erkazan Levent Ülgen Hatice Aslan
Adı Efsane,Devrim Yalçın,Ebru Sakal,,,,,,,İstanbul,D Productions,,,1,,28 Ocak 2017 - 29 Ağustos 2017,Türkçe,,Müge Turalı Pak Elif Ayşe Durmaz,140 dakika,Alpay Göltekin,,,Selim Erkul Duygu Nişancı,,,29,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aşk Dram Gençlik Spor,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Tunus Taşçı Nazlı Sunlu Hilal Yıldız,,Kemal Sözen,Erdal Beşikçioğlu Rojda Demirer Gökçe Bahadır
Karanlıkta Koşanlar,Uğur Yücel,,,,,,,,,TRT,,,1,,2001 - 2001,Türkçe,,Osman Yağmurdereli,,,,,,,,10,,,Macera Polisiye,Televizyon dizisi,,Türkiye,,Sona erdi,TRT 1,,,Ahmet Ümit Uğur Yücel,,,Uğur Yücel Haluk Bilginer Altan Karındaş Köksal Engür Devin Özgür Çınar Parkan Özturan Levend Yılmaz
Adı Sevgi,Sadullah Celen Celil Murat Sarı,,,,,,,Engin Arslan Mayki Murat Başaran Sunay Özgür,İstanbul,Koliba Film,,,1,,13 Mart 2022 - 22 Mayıs 2022,Türkçe,,Ata Türkoğlu,120 dakika,Kalan Müzik,,,,,,11,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Aksiyon Gerilim,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,Filiz Alpgezmen Murat Can Tura,,Yalçın Yadel,Yunus Emre Yıldırımer Gizem Güneş
Aşk ve Mavi,Hakan Arslan,,,,,,,Alp Yenier,"Ürgüp ,  Nevşehir",NTC Medya,,Aşk ve Mavi,3,Elbruz Eken,4 Kasım 2016 - 16 Kasım 2018,Türkçe,,Mehmet Yiğit Alp,140 dakika,Alp Yenier,,,,,,78,576i  ( SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,Gül Abus Semerci Yelda Eroğlu,Aşk ve Mavi - Götür Beni Gittiğin Yere,Burak Demirdelen,Emrah  (1-74) Burcu Kıratlı Keremcem Cüneyt Mete Kenan Bal Ayşegül Ünsal Işıl Yücesoy  (1-63)
