Title,Header,Data
Sokak Şarkıcıları,Format,Dizi
Sokak Şarkıcıları,Geliştiren,Laboratuvar : Abdullah Akdeniz Hasan Örnek İsmet Karslı Renklendirme : Türker Vatan Işık : Erol Batıbeki Ses Kayıt : Erol Batıbeki
Sokak Şarkıcıları,Senarist,Alpay İzer
Sokak Şarkıcıları,Yönetmen,Nazmi Özer
Sokak Şarkıcıları,Başrol,Ali Poyrazoğlu Oya Başar Aysun Güven Özcan Özgür Gülşen Gürsoy İlhan Daner Alpay İzer
Sokak Şarkıcıları,Ülke,Türkiye
Sokak Şarkıcıları,Dili,Türkçe
Sokak Şarkıcıları,Sezon sayısı,1
Sokak Şarkıcıları,Mekân,İzmir
Sokak Şarkıcıları,Görüntü yönetmeni,Salih Dikişçi
Sokak Şarkıcıları,Kamera,Can Özer Kazım Çakırmanoğlu
Sokak Şarkıcıları,Yapım  şirketi,Yeni Stüdyo
Sokak Şarkıcıları,Kanal,TRT
Sokak Şarkıcıları,Yayın tarihi,1974 - 1974
Yılkı Atı,Format,Dizi
Yılkı Atı,Yönetmen,"Ünal Küpeli ,  Hüseyin Karakaş"
Yılkı Atı,Ülke,Türkiye
Yılkı Atı,Dili,Türkçe
Yılkı Atı,Sezon sayısı,1
Yılkı Atı,Kanal,TRT
Yılkı Atı,Yayın tarihi,1974 - 1974
Doktorlar,Format,Televizyon dizisi
Doktorlar,Tür,Duygusal Macera
Doktorlar,Senarist,Cüneyt Arkın
Doktorlar,Yönetmen,Melih Gülgen
Doktorlar,Başrol,Cüneyt Arkın Erol Günaydın Meral Konrat Haluk Kurtoğlu Oktay Sözbir Salih Kırmızı
Doktorlar,Ülke,Türkiye
Doktorlar,Dili,Türkçe
Doktorlar,Sezon sayısı,1
Doktorlar,Bölüm sayısı,4
Doktorlar,Yapımcı,Cüneyt Arkın
Doktorlar,Mekân,İstanbul
Doktorlar,Kanal,TRT 1
Doktorlar,Yayın tarihi,7 Temmuz 1989  ( 1989-07-07 ) [1]  -  Temmuz 1989  ( 1989-07T28 ) [1]
Doktorlar,Durumu,Sona erdi
Geçmiş Bahar Mimozaları,Format,Televizyon dizisi
Geçmiş Bahar Mimozaları,Tür,Dram Psikolojik
Geçmiş Bahar Mimozaları,Senarist,Nevin İnaç
Geçmiş Bahar Mimozaları,Yönetmen,Okan Uysaler
Geçmiş Bahar Mimozaları,Başrol,Filiz Akın Rutkay Aziz Ceylan Palay Müşfik Kenter Güler Ökten Nurseli İdiz Musa Uzunlar
Geçmiş Bahar Mimozaları,Ülke,Türkiye
Geçmiş Bahar Mimozaları,Dili,Türkçe
Geçmiş Bahar Mimozaları,Sezon sayısı,1
Geçmiş Bahar Mimozaları,Bölüm sayısı,9
Geçmiş Bahar Mimozaları,Yapımcı,Selçuk İnaç
Geçmiş Bahar Mimozaları,Yapım  şirketi,TRT
Geçmiş Bahar Mimozaları,Kanal,TRT 1
Geçmiş Bahar Mimozaları,Yayın tarihi,1989
Geçmiş Bahar Mimozaları,Durumu,Sona erdi
Kanun Savaşçıları,Format,Televizyon dizisi
Kanun Savaşçıları,Tür,Aksiyon Macera Polisiye
Kanun Savaşçıları,Senarist,Nuran Devres
Kanun Savaşçıları,Yönetmen,Emin Gerçeker
Kanun Savaşçıları,Başrol,Serdar Gökhan Eşref Kolçak Özlem Savaş Yusuf Sezgin Savaş Akova Orsel Sonat Sermin Karaali Perin Karaali Tanju Şarman
Kanun Savaşçıları,Seslendiren(ler),Ersan Uysal
Kanun Savaşçıları,Ülke,Türkiye
Kanun Savaşçıları,Dili,Türkçe
Kanun Savaşçıları,Sezon sayısı,1
Kanun Savaşçıları,Bölüm sayısı,234
Kanun Savaşçıları,Yapımcı,Fide Motan
Kanun Savaşçıları,Yapım  şirketi,TRT
Kanun Savaşçıları,Kanal,TRT 1  (1989)
Kanun Savaşçıları,Ses formatı,Stereo
Kanun Savaşçıları,Yayın tarihi,1989 - 1989
Kanun Savaşçıları,Durumu,Sona erdi
Ah Ana,Format,Televizyon dizisi
Ah Ana,Tür,Komedi Sitcom Dram
Ah Ana,Senarist,Hasan Vasfi Uçkan
Ah Ana,Yönetmen,Tarık Alpagut
Ah Ana,Başrol,Beyhan Saran Halil İbrahim Kalaycıoğlu Erol Kardeseci Alpay İzbırak Nurtekin Odabaşı Hülya Gülşen Irmak Jale Aylanç
